Date,GPRD
12/27/13,148
12/28/13,51
12/29/13,57
12/30/13,32
12/31/13,105
1/1/14,63
1/2/14,112
1/3/14,101
1/4/14,36
1/5/14,37
1/6/14,29
1/7/14,53
1/8/14,73
1/9/14,0
1/10/14,108
1/11/14,19
1/12/14,37
1/13/14,100
1/14/14,17
1/15/14,126
1/16/14,36
1/17/14,46
1/18/14,32
1/19/14,72
1/20/14,79
1/21/14,66
1/22/14,82
1/23/14,73
1/24/14,47
1/25/14,88
1/26/14,72
1/27/14,27
1/28/14,79
1/29/14,72
1/30/14,28
1/31/14,54
2/1/14,54
2/2/14,36
2/3/14,81
2/4/14,45
2/5/14,100
2/6/14,50
2/7/14,40
2/8/14,64
2/9/14,0
2/10/14,59
2/11/14,17
2/12/14,96
2/13/14,35
2/14/14,68
2/15/14,39
2/16/14,34
2/17/14,85
2/18/14,101
2/19/14,39
2/20/14,73
2/21/14,39
2/22/14,19
2/23/14,82
2/24/14,109
2/25/14,92
2/26/14,73
2/27/14,43
2/28/14,31
3/1/14,116
3/2/14,69
3/3/14,337
3/4/14,411
3/5/14,420
3/6/14,135
3/7/14,169
3/8/14,84
3/9/14,158
3/10/14,45
3/11/14,52
3/12/14,65
3/13/14,111
3/14/14,142
3/15/14,131
3/16/14,147
3/17/14,199
3/18/14,208
3/19/14,140
3/20/14,172
3/21/14,114
3/22/14,83
3/23/14,63
3/24/14,92
3/25/14,210
3/26/14,157
3/27/14,118
3/28/14,60
3/29/14,121
3/30/14,96
3/31/14,121
4/1/14,59
4/2/14,74
4/3/14,64
4/4/14,56
4/5/14,61
4/6/14,34
4/7/14,153
4/8/14,43
4/9/14,148
4/10/14,71
4/11/14,53
4/12/14,84
4/13/14,50
4/14/14,60
4/15/14,183
4/16/14,112
4/17/14,86
4/18/14,49
4/19/14,91
4/20/14,116
4/21/14,64
4/22/14,148
4/23/14,72
4/24/14,116
4/25/14,74
4/26/14,154
4/27/14,33
4/28/14,77
4/29/14,102
4/30/14,134
5/1/14,112
5/2/14,112
5/3/14,109
5/4/14,80
5/5/14,48
5/6/14,74
5/7/14,36
5/8/14,166
5/9/14,135
5/10/14,86
5/11/14,91
5/12/14,40
5/13/14,76
5/14/14,80
5/15/14,20
5/16/14,50
5/17/14,65
5/18/14,77
5/19/14,105
5/20/14,71
5/21/14,49
5/22/14,51
5/23/14,76
5/24/14,77
5/25/14,116
5/26/14,79
5/27/14,59
5/28/14,91
5/29/14,112
5/30/14,73
5/31/14,60
6/1/14,70
6/2/14,19
6/3/14,89
6/4/14,94
6/5/14,75
6/6/14,115
6/7/14,85
6/8/14,105
6/9/14,76
6/10/14,171
6/11/14,90
6/12/14,85
6/13/14,121
6/14/14,77
6/15/14,123
6/16/14,140
6/17/14,289
6/18/14,165
6/19/14,79
6/20/14,185
6/21/14,51
6/22/14,66
6/23/14,94
6/24/14,126
6/25/14,105
6/26/14,86
6/27/14,162
6/28/14,26
6/29/14,106
6/30/14,97
7/1/14,192
7/2/14,126
7/3/14,106
7/4/14,150
7/5/14,95
7/6/14,0
7/7/14,188
7/8/14,120
7/9/14,126
7/10/14,123
7/11/14,130
7/12/14,98
7/13/14,96
7/14/14,128
7/15/14,63
7/16/14,162
7/17/14,69
7/18/14,273
7/19/14,279
7/20/14,167
7/21/14,162
7/22/14,148
7/23/14,245
7/24/14,228
7/25/14,186
7/26/14,150
7/27/14,115
7/28/14,124
7/29/14,151
7/30/14,149
7/31/14,121
8/1/14,193
8/2/14,158
8/3/14,18
8/4/14,255
8/5/14,93
8/6/14,150
8/7/14,88
8/8/14,306
8/9/14,215
8/10/14,153
8/11/14,265
8/12/14,340
8/13/14,242
8/14/14,302
8/15/14,332
8/16/14,189
8/17/14,151
8/18/14,73
8/19/14,301
8/20/14,220
8/21/14,126
